國文,英文,數學,社會,自然
7,15,12,6,11
11,15,15,8,6
10,11,14,6,15
8,7,13,8,11
12,9,8,6,13
15,11,7,14,14
15,12,8,7,9
12,13,6,14,15
10,11,9,9,9
6,13,9,11,10
13,9,14,8,9
10,14,11,6,12
7,11,8,15,14
9,8,9,7,8
9,12,13,11,12
12,10,10,7,13
10,7,8,14,15
14,8,15,6,8
10,15,14,10,15
6,12,14,6,6
12,10,12,9,14
7,12,9,14,14
13,12,6,6,6
11,9,12,11,12
11,13,13,12,6
10,7,8,13,11
14,12,9,11,13
13,8,9,7,10
11,13,11,11,14
7,14,7,14,12
11,12,7,15,10
7,9,13,13,7
11,15,8,14,7
9,15,13,7,6
7,9,8,10,13
6,8,11,13,7
13,11,14,8,8
12,6,10,12,14
9,14,8,9,6
9,12,15,13,6
12,12,15,14,7
8,7,10,15,14
14,14,15,6,8
13,12,8,15,13
14,9,6,14,11
10,12,7,10,6
6,7,10,8,6
11,13,14,7,12
14,7,10,14,6
12,14,10,15,6
10,12,15,11,8
6,6,12,9,7
13,11,10,9,6
9,13,13,9,8
8,15,15,12,9
10,15,8,15,9
12,10,12,7,7
6,9,9,11,7
9,8,15,15,13
8,6,8,10,10
15,14,15,10,15
15,13,13,14,13
12,14,9,9,13
11,14,6,10,15
6,11,10,15,15
15,6,6,6,13
10,10,8,12,8
15,13,12,8,8
13,7,11,7,12
11,9,7,7,13
7,10,6,12,12
6,11,14,9,14
15,12,7,13,15
12,12,13,8,10
13,7,15,6,12
6,6,13,9,11
12,14,14,15,12
6,9,15,8,14
14,9,11,11,9
8,11,14,14,14
10,11,6,12,11
14,14,8,8,10
14,15,6,11,7
9,8,10,14,6
10,7,8,10,8
10,7,6,13,8
6,6,8,7,15
10,8,15,15,9
8,7,15,10,8
11,12,7,6,8
15,11,6,6,6
12,9,7,8,12
8,13,10,11,8
7,14,15,14,14
11,12,9,7,7
15,6,6,15,14
14,6,6,13,13
10,7,9,12,7
14,8,7,14,6
7,10,14,15,8
